OBJECTID,agency,comments,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,gisacres,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,SHAPE_Length,SHAPE_Area
115,BLM,WFDSS,,2015/02/13 00:00:00+00,2015-CAOVD-000107,2015,Van Dyke,,2015/02/09 06:00:00+00,512.43353703,,JH7U,,CAOVD,CA,,000107,{43A9DDEA-92DA-459F-BD13-4E89508B7AFD},N,,0.17226437008972,0.000213358933975938
137,State Agency,,Unknown,2013/06/20 00:00:00+00,2012-CASLU-007102,2012,BITTER,,2012/08/31 00:00:00+00,167.66146876,,G7FC,,CASLU,CA,,007102,,N,,0.0553128687243916,6.74690727825265e-05
141,USFS,FIMT,Unknown,2016/09/20 00:00:00+00,2016-CAMDF-000908,2016,SOUP 4,CAMDF,2016/09/19 09:45:00+00,0.26708666,SOUP COMPLEX,,{FDE55600-550F-4A2C-ADF6-72B4A2E3F012},CAMDF,CA,,000908,{D196D1AA-0812-4B0C-9010-712133C2FFE5},Y,,0.00151685618320975,1.16178169095191e-07
206,USFS,WFDSS,Hand Sketch,2018/06/04 00:00:00+00,2018-CASQF-000782,2018,Wood,CASQF,2018/06/01 15:59:59+00,101.67131928,,,,CASQF,CA,,000782,{A018E010-A2C4-4A5E-BDCF-D7D73DD15F4B},N,,0.0283210102224489,4.1133693752865e-05
212,State Agency,From CalFire,Unknown,2014/06/23 00:00:00+00,2013-CALNU-002937,2013,SUMMIT,,2013/04/24 00:00:00+00,2.20039909,,,,CALNU,CA,,002937,,N,,0.00442123292382535,9.20265764406997e-07
217,Local Agency,,GPS-Walked,2018/07/23 00:00:00+00,2018-CASBC-009203,2018,CRUCES,CASBC,2018/07/19 16:54:59+00,77.5530479,,L0V6,,CASBC,CA,,009203,{C674BA44-8CCB-423B-B1F6-549A190FFD15},N,,0.0425084456241599,3.08145725655321e-05
220,State Agency,,,2015/08/15 00:00:00+00,2015-CALNU-006984,2015,Rocky,,2015/08/14 20:39:00+00,69438.16761211,,J0ED,,CALNU,CA,4451,006984,{CFB03B6A-5E58-4783-BCAD-900BB5733A75},N,,1.38951340364281,0.0291981501511198
239,USFS,WFDSS,GPS-Walked/ Driven,2018/06/18 00:00:00+00,2018-CACNF-001756,2018,JIM,CACNF,2018/06/05 18:59:59+00,0.59549852,,LUU2,,CACNF,CA,,001756,{99010F64-7470-4CEB-911C-269100EBF031},N,,0.00253889898661157,2.34291187944606e-07
245,USFS,IR heat perimeter,Infrared Image,2014/10/14 00:00:00+00,2014-CAKNF-005511,2014,White,,2014/10/13 23:25:00+00,33795.09298726,July Complex,,{783CC596-005C-4AAD-ACC3-DFD66940D92A},CAKNF,CA,4035,005511,{262F80D9-C5D3-42C2-8F27-BD0299906920},Y,H9BU,1.38157911571392,0.0147066233330412
280,State Agency,No entry in FireCode,Unknown,2013/06/20 00:00:00+00,2011-CASCU-002885,2011,TOP,,2011/07/21 00:00:00+00,516.96479788,,,,CASCU,CA,,002885,,N,,0.0834512279930656,0.00021371142830834
285,NPS,WFDSS,GPS-Flight,2018/08/29 00:00:00+00,2018-CAKNP-000100,2018,NORTH BUBBS,CAKNP,2018/08/28 15:00:00+00,164.48680309,,L2CK,,CAKNP,CA,,000100,{66C9A099-A3C6-46B4-A156-FD6C8F61DF95},N,,0.0480993888228401,6.71978029074437e-05
293,USFS,Event Standard Perims,Mixed Methods,2018/08/02 00:00:00+00,2018-CAINF-001394,2018,OWENS,CAINF,2018/08/01 15:24:59+00,308.78491069,,L2CY,,CAINF,CA,6077,001394,{3FB1206E-83D4-48A7-B047-F5A9E23724A9},N,,0.0788565843852427,0.000127744275419924
300,BIA,WFDSS,,2015/08/07 00:00:00+00,2015-CAHIA-015181,2015,Deer Horn 2,,2015/08/04 06:00:00+00,86.16431965,,J0MP,,CAHIA,CA,,015181,{7DE35661-1291-414D-9C6D-8DDD9E7CF16C},N,,0.0309862329820762,3.74192362924133e-05
360,USFS,WFDSS,Hand Sketch,2018/08/02 00:00:00+00,2018-CAPNF-001283,2018,Crocker,CAPNF,2018/07/28 00:00:00+00,82.43662561,,L1GS,,CAPNF,CA,,001283,{90C95B60-59D8-433E-A8BB-AC22E2F85AF7},N,,0.0296794788548082,3.51300713476873e-05
404,BIA,,Infrared Image,2018/11/17 00:00:00+00,2018-CAHIA-000174,2018,SIGNBOARD,CANCA,2018/11/16 20:57:00+00,81.15428383,,L6EP,,CAHIA,CA,,000174,{BB1DC5C3-7F20-45E7-860E-5A22EEF2F245},N,,0.0335103125647076,3.51662774792455e-05
410,State Agency,FIMT,Unknown,2014/07/25 00:00:00+00,2014-CALNU-005333,2014,Butts,,2014/07/08 23:35:00+00,4297.34953637,,H6UW,,CALNU,CA,,005333,{4257EEAF-CEBA-41FE-A5D9-40AE3060B031},N,,0.244266622450258,0.00180073369048977
445,USFS,WFDSS,Hand Sketch,2017/06/28 00:00:00+00,2017-CABDF-009802,2017,MART,,2017/06/27 23:00:00+00,866.71076353,,K29L,,CABDF,CA,5287,009802,{20699BCD-603E-4A22-9503-44F9B6AB462C},N,,0.103407905300466,0.00034285413497937
466,USFS,WFDSS,Hand Sketch,2016/11/15 00:00:00+00,2016-CAANF-004852,2016,Marek,CAANF,2016/11/14 10:30:00+00,71.09686349,,,,CAANF,CA,,004852,{919E75D9-5172-49E9-BEB5-AB89C50F1C97},N,,0.0263687214920613,2.81801477607627e-05
480,USFS,WFDSS,Hand Sketch,2016/08/24 00:00:00+00,2016-CASQF-002683,2016,TULE,CASQF,2016/08/23 13:20:00+00,238.91289648,,KM8V,,CASQF,CA,,002683,{3F3769E3-3EF8-4383-A9D3-1F50D3A33F8D},N,,0.0540351394457413,9.68318905358403e-05
504,USFS,"WFDSS; GPS ground; no entry in FireCode",GPS-Walked/ Driven,2014/11/03 00:00:00+00,2014-CASTF-00003946,2014,Kennedy,,2014/10/31 15:59:59+00,3.97286606,,,,CASTF,CA,,003946,{45ABDFCB-377B-4C03-9CA1-9FF3113960AD},N,,0.0144237208048985,1.65710391784995e-06
508,State Agency,,Unknown,2013/06/20 00:00:00+00,2012-CARRU-052340,2012,LAKEPOINTE,,2012/05/27 00:00:00+00,256.10357065,,GV1T,,CARRU,CA,,052340,,N,,0.0528487392593058,0.000100977692606777
519,BLM,GPS,GPS-Unknown Travel Method,2013/10/25 00:00:00+00,2012-CACDD-011623,2012,Lamb,,2012/08/11 00:00:00+00,25.16838619,,G5XF,,CACDD,CA,,011623,,N,,0.0181862353446336,9.9257305949615e-06
520,BLM,GPS,GPS-Unknown Travel Method,2013/10/25 00:00:00+00,2012-CACDD-008474,2012,Jameson,,2012/06/23 00:00:00+00,29.98893236,,GWL6,,CACDD,CA,,008474,,N,,0.0286058120848305,1.1927271915984e-05
524,USFS,WFDSS,Other,2016/08/05 00:00:00+00,2016-CASRF-000844,2016,BURNT,CASRF,2016/08/03 15:00:00+00,3.64768716,,KJ9K,,CASRF,CA,,000844,{168550C3-FBD9-4601-9942-97E38E91EB0A},N,,0.004832607283565,1.57630204195879e-06
531,USFS,FIMT,Unknown,2011/09/19 00:00:00+00,2011-CALPF-002373,2011,Hurricane Complex,,2011/09/16 17:34:00+00,203.84521541,,GF0W,,CALPF,CA,,002373,,N,,0.0736262083006774,8.13577826242518e-05
534,BLM,GPS ground,GPS-Walked/ Driven,2011/12/04 00:00:00+00,2011-CACDD-012216,2011,Johnson,,2011/08/20 00:00:00+00,179.35102988,,GA9N,,CACDD,CA,,012216,,N,,0.0614802082898316,7.13025194521473e-05
538,Local Agency,No entry in FireCode,Unknown,2013/06/20 00:00:00+00,2011-CALAC-140046,2011,RIVERBED,,2011/06/22 00:00:00+00,108.05053774,,,,CALAC,CA,,140046,,N,,0.0417538067895764,4.29557206619883e-05
543,NPS,"WFDSS; GPS air",GPS-Flight,2015/11/13 00:00:00+00,2015-CAKNP-000185,2015,Burnt,,2015/10/30 12:00:00+00,160.72921875,,J4RK,,CAKNP,CA,,000185,{E027958F-30B7-428F-87C2-1290A1F064A6},N,,0.0314691733382365,6.57969058432172e-05
545,State Agency,FIMT,Unknown,2011/08/17 00:00:00+00,2011-CABEU-002787,2011,Reliz,,2011/08/17 02:13:00+00,379.20346055,,GA1G,,CABEU,CA,,002787,,N,,0.0711609311627132,0.00015371457026341
549,BLM,"WFDSS; GPS ground",GPS-Walked/ Driven,2011/06/07 00:00:00+00,2011-CACND-001459,2011,Key,,2011/06/06 00:00:00+00,151.0388792,,F4MA,,CACND,CA,,001459,,N,,0.0521149002270515,6.08220530217806e-05
590,CDF,Pulled from EGP REST Service,Mixed Methods,2018/08/18 05:05:27+00,2018-CAMEU-008674,2018,River,CAMEU,2018/08/17 14:38:35+00,48920.39969523,Mendocino Complex,L1WH,{E5297875-5551-479A-B839-93B16FF4EE6E},CAMEU,CA,,008674,{E5297875-5551-479A-B839-93B16FF4EE6E},Y,,1.00018866451944,0.0206022665792219
606,USFS,WFDSS,Infrared Image,2018/11/14 00:00:00+00,2018-CAANF-004130,2018,SAN,CABDF,2018/11/03 06:00:00+00,14.01696798,,L59F,,CAANF,CA,,004130,{1B36591B-6091-40DA-A703-9D81A2CA8614},N,,0.0142759693106372,5.54697272700546e-06
607,USFS,,GPS-Walked,2017/08/13 00:00:00+00,2017-CAMDF-000773,2017,CLARK,CAMDF,2017/08/11 06:16:00+00,254.88581955,,,,CAMDF,CA,,000773,{EBFF699D-70CF-4127-8A26-01F09AF3103C},N,,0.0582200389705712,0.000110764982789313
609,USFS,,Mixed Methods,2017/08/13 00:00:00+00,2017-CAMDF-000776,2017,STEELE,CAMDF,2017/08/13 02:48:00+00,46996.95865822,,,,CAMDF,CA,,000776,{689EFA25-1FA1-40B2-B841-FC00EBF24272},N,,1.67120233867326,0.0206307659773493
611,USFS,,Mixed Methods,2017/08/13 00:00:00+00,2017-CAMDF-000767,2017,Red,CAMDF,2017/08/11 06:16:00+00,0.75240521,,,,CAMDF,CA,,000767,{0836338D-A5BE-477F-A9C9-8889F15B382E},N,,0.00219937970740549,3.2665759400961e-07
628,USFS,"WFDSS;Drawn / Ground, GPS / Air, GPS / Ground",Mixed Methods,2017/10/23 00:00:00+00,2017-CASTF-001940,2017,DOUGLAS,CASTF,2017/10/20 00:00:00+00,310.77632319,SUMMIT COMPLEX,EK17,{3496b959-05f4-4040-98d3-b96e7eef17b2},CASTF,CA,5546,001940,{B4C08027-5A1B-43DD-817F-134944B1EC0D},Y,LA14,0.0694918897672413,0.000129559741457393
648,USFS,IR heat perimeter,Infrared Image,2014/09/16 00:00:00+00,2014-CAKNF-006000,2014,Man,,2014/09/15 23:28:00+00,12639.89441387,July Complex,,{C60F8D84-5F11-4B47-9756-7B44C56BBA8F},CAKNF,CA,4035,006000,{0A9F3E42-5158-421B-A286-B7E7F0F37C28},Y,H91E,1.07934771922713,0.00551891965504189
649,USFS,,Infrared Image,2017/09/18 00:00:00+00,2017-CASNF-001414,2017,QUARTZ,CASNF,2017/09/18 01:44:59+00,17.94424147,,,,CASNF,CA,,001414,{A45501AE-0D5E-4308-A6CF-9D9D49B71ACF},N,,0.033802169768733,7.40161583571142e-06
651,State Agency,IR heat perimeter,Infrared Image,2014/08/22 00:00:00+00,2014-CAMMU-014633,2014,Junction,,2014/08/22 02:03:00+00,612.15563286,,JCY9,,CAMMU,CA,,014633,{48763A2F-5660-4618-9F35-0F5C669257BA},N,,0.128470842042294,0.0002519271974357
690,USFS,Posted along with Modoc July Complex data but Irwin does not list as part of the Complex,Infrared Image,2017/07/27 00:00:00+00,2017-CAMDF-000778,2017,BIRD,CAMDF,2017/07/27 01:09:00+00,33.97582058,,,,CAMDF,CA,,000778,{BD814275-02EE-4467-8523-CAE88F5E36DE},N,,0.0208239616683902,1.49057409454965e-05
691,USFS,FIMT,Unknown,2017/07/26 00:00:00+00,2017-CALBOR-001770,2017,Whittier,,2017/07/25 07:09:00+00,18412.40399827,,K4VE,,CALBOR,CA,5339,001770,{26AAFB26-B568-42CA-98A4-BADD7915EF50},N,,0.627984940383939,0.00731635913055678
725,Local Agency,Event Standard Perims,Infrared Image,2018/06/07 00:00:00+00,2018-CAORC-060414,2018,ALISO,CAORC,2018/06/05 18:26:00+00,175.71859349,,LT69,,CAORC,CA,,060414,{83E16686-5267-4C14-852B-4B535C73D63F},N,,0.0506809360931164,6.90379584754444e-05
729,USFS,"WFDSS; GPS ground",GPS-Walked/ Driven,2011/09/30 00:00:00+00,2011-CAENF-021563,2011,Long,,2011/09/29 00:00:00+00,482.82319335,,GG2M,,CAENF,CA,,021563,,N,,0.0897116235820269,0.000202495815237622
739,CDF,Final,Mixed Methods,2018/11/26 00:00:00+00,2018-CABTU-016737,2018,CAMP,CAPNF,2018/11/25 18:21:59+00,153335.56547604,,L6BH,,CABTU,CA,6250,016737,{75E64DB8-9B75-4A68-BEDD-67CC62658E38},N,,3.19282621074084,0.0652120855860593
761,USFS,,Infrared Image,2017/12/12 00:00:00+00,2017-CAKNF-005915,2017,CEDAR,CAKNF,2017/10/13 00:53:59+00,9129.37686016,ECLIPSE COMPLEX,K9EK,{27d0f5a8-e237-461a-bdc2-bb0e478ba248},CAKNF,CA,5482,005915,{B0454630-3F69-457A-BCE1-F81DB1D60F10},Y,K9QB,0.861508637786438,0.00401114301093298
775,CDF,,Infrared Image,2017/10/10 00:00:00+00,2017-CATCU-012170,2017,POINT,,2017/10/10 00:26:00+00,130.40907284,,LE6D,,CATCU,CA,,012170,{DAF778E8-6421-473B-A17E-CCFC0172B16E},N,,0.0631568898470937,5.44287355820517e-05
793,CDF,FIMT,Unknown,2017/07/10 00:00:00+00,2017-CASKU-004779,2017,FAY,CASKU,2017/07/07 18:01:59+00,469.37566049,,K390,,CASKU,CA,,004779,{45878B31-54B4-4B81-B7BF-202D340C7BEB},N,,0.0893264803477408,0.000204430280991987
795,USFS,WFDSS,GPS-Walked/ Driven,2017/07/07 00:00:00+00,2017-CALNF-003732,2017,ANTELOPE,CALNF,2017/07/06 19:30:00+00,17.95082534,,K4HL,,CALNF,CA,,003732,{F7B431C3-1478-4E7C-BD37-9E8A029ED2D1},N,,0.020311827114008,7.73288187508684e-06
803,USFS,IR heat perimeter,Infrared Image,2013/08/14 00:00:00+00,2013-CASRF-001494,2013,Graveyard,,2013/08/12 23:21:00+00,10.08653744,Corral Complex,,,CASRF,CA,3634,001494,,Y,HU49,0.013709167392428,4.37137352134978e-06
805,BLM,GPS,GPS-Unknown Travel Method,2013/10/25 00:00:00+00,2012-CAOVD-000819,2012,Biederman,,2012/07/24 00:00:00+00,19.96267598,,G3AS,,CAOVD,CA,,000819,,N,,0.0249152362494173,8.30211367424469e-06
821,USFS,WFDSS,GPS-Walked/ Driven,2018/07/14 00:00:00+00,2018-CACNF-002238,2018,WEST,CACNF,2018/07/13 00:00:00+00,505.33506788,,LY1V,,CACNF,CA,,002238,{2E333193-E67D-406E-AFB1-AB438E13A944},N,,0.0790300898489352,0.000196938727221471
838,USFS,"WFDSS;IMT perimeter",Other,2017/09/05 00:00:00+00,2017-CASQF-002435,2017,CALDWELL,CASQF,2017/09/05 06:37:59+00,1321.32022529,,LBF9,,CASQF,CA,5579,002435,{19EEA544-2FCA-4D65-AA71-3612BEF4C529},N,,0.135526339183378,0.000532933001048378
841,USFS,IR heat perimeter,Infrared Image,2015/10/15 00:00:00+00,2015-CASHF-002164,2015,Johnson,,2015/10/14 21:13:00+00,34030.39545385,Route Complex,,{36388BE6-16C8-4DB1-8A0F-694429AC7633},CASRF,CA,4447,002164,{66B9D77E-31BD-487B-A480-CBE79B8B0AB2},Y,J0N7,1.31249007781035,0.0146513767592324
844,USFS,IR heat perimeter,Infrared Image,2015/07/20 00:00:00+00,2015-CABDF-009001,2015,North,,2015/07/19 22:54:59+00,4249.09304448,,JY2D,,CABDF,CA,4395,009001,{DA6096B2-98B0-47F6-A263-0A121358036F},N,,0.28149875048608,0.00168532416169001
863,USFS,"WFDSS;GPS / Ground, Drawn / Ground",Mixed Methods,2017/10/16 00:00:00+00,2017-CAPNF-001488,2017,Eureka,CAPNF,2017/10/07 17:00:00+00,297.60756757,,LB7S,,CAPNF,CA,5628,001488,{D068AE4D-3376-4EB9-9ED6-4BB780F15AEF},N,,0.0759889938663771,0.000126578445746226
864,BLM,FPER,Mixed Methods,2018/02/06 00:00:00+00,2017-CANOD-006142,2017,COW HEAD,,2017/10/12 00:00:00+00,31.6667793,,LE7X,,CANOD,CA,,006142,{2209B4B4-E85A-47E2-A547-50F0E400F535},N,,0.0270334546367831,1.39145919514633e-05
866,CDF,,Mixed Methods,2017/07/15 00:00:00+00,2017-CASLU-007624,2017,ALAMO,CASLU,2017/07/15 00:00:00+00,28833.52402947,,K4J1,,CASLU,CA,,007624,{08D1626D-4EBA-47C0-ABBE-878DE60CA985},N,,0.951753806771211,0.0115173789806113
887,USFS,WFDSS,Digitized-Other,2016/06/30 00:00:00+00,2016-CAPNF-000524,2016,NELSON,,2016/06/29 08:39:59+00,17.36772768,,KCR7,,CAPNF,CA,4826,000524,{E3BE1947-9666-455C-A468-4D97A2F6E697},N,,0.0134515290763752,7.38245699097826e-06
905,State Agency,From CalFire,Unknown,2014/06/23 00:00:00+00,2013-CANEU-012092,2013,THOUSAND OAKS,,2013/06/01 00:00:00+00,1.88290162,,,,CANEU,CA,,012092,,N,,0.00499617700932266,7.92405094092614e-07
927,BLM,From CalFire,Unknown,2014/06/23 00:00:00+00,2013-CACND-001906,2013,KENDON,,2013/06/21 00:00:00+00,2.41130078,,HLH6,,CACCD,CA,,001906,,N,,0.00536965323955378,9.6468550077579e-07
951,CDF,FIMT,Unknown,2016/08/15 00:00:00+00,2016-CAHUU-006659,2016,SUMMIT,,2016/08/13 18:00:00+00,20.42371268,,KL2P,,CAHUU,CA,,006659,{85B5CCDD-8FC5-439C-89AE-A4B0D5E7C868},N,,0.0135325489824391,8.84627169238124e-06
985,NPS,"WFDSS; GPS ground",GPS-Walked/ Driven,2015/09/14 00:00:00+00,2015-CAYNP-000049,2015,Indian Canyon,,2015/07/30 00:00:00+00,4.13535131,,JV4G,,CAYNP,CA,,000049,{835FCB58-A21A-4623-9F30-1942E369BC24},N,,0.0110815115731496,1.71144943985569e-06
1008,State Agency,IR heat perimeter,Infrared Image,2015/10/01 00:00:00+00,2015-CALNU-008670,2015,Valley,,2015/10/01 01:02:00+00,76209.06264924,,J3H8,,CALNU,CA,,008670,{1ECD4627-2DD5-44C6-AFD3-CD12F6C69AC5},N,,2.52552134877824,0.0319752032180952
1027,USFS,BLM FPERs Data,GPS-Walked,2017/07/13 00:00:00+00,2017-NVHTF-030193,2017,Payne,,2017/06/08 00:00:00+00,66.61311872,,K1N4,,NVHTF,CA,,030193,{FD8EB032-51BD-48F0-B3B8-71D3639DDBF3},N,,0.0288267148363996,2.79564171150933e-05
1034,CDF,BLM FPER,Digitized-Topo,2019/03/19 00:00:00+00,2018-CATCU-007231,2018,FLAT,CATCU,2018/08/09 00:00:00+00,164.03243065,,LW1Z,,CATCU,CA,,007231,{CD8E5943-8C25-4079-B0D9-67458FCA6D52},N,,0.0397718163692115,6.78988452972797e-05
1043,CDF,,Unknown,2017/07/22 00:00:00+00,2017-CAFKU-010248,2017,PARK,CAFKU,2017/07/21 20:19:59+00,1648.70360826,,K5X2,,CAFKU,CA,,010248,{CB79ECA4-2FBA-46CB-A5B5-AF1EE6AE5292},N,,0.159108841100381,0.000667087525070509
1048,CDF,FIMT,Unknown,2017/08/08 00:00:00+00,2017-CAHUU-006723,2017,SAW,,2017/08/04 19:47:00+00,53.362726,,K80T,,CAHUU,CA,,006723,{539D8431-D115-47DB-BC23-4123327DCFA0},N,,0.0330163085435516,2.28139971852376e-05
1053,USFS,WFDSS,,2015/06/30 00:00:00+00,2015-CAPNF-000729,2015,Beckwourth Lightning Complex,,2015/06/29 00:00:00+00,14.31029945,Beckwourth Lightning Complex,JU5D,{F9653BC1-2E4A-42BB-81BE-6DF0F6A3A91B},CAPNF,CA,4334,000729,{F9653BC1-2E4A-42BB-81BE-6DF0F6A3A91B},Y,JU5D,0.0440854147569966,6.10948072498833e-06
1064,CDF,Event Standard Perims,Mixed Methods,2018/07/31 00:00:00+00,2018-CAMVU-011272,2018,ROCK,CAMVU,2018/07/30 01:41:00+00,336.16327852,,L12H,,CAMVU,CA,,011272,{76FD4A38-35C8-46E7-8809-13D08A8093F5},N,,0.0524706689078122,0.000131878335767841
1070,NPS,WFDSS,GPS-Walked/ Driven,2018/10/11 00:00:00+00,2018-CAYNP-000063,2018,Unicorn,CAYNP,2018/09/05 00:00:00+00,2.77665293,,L1Z3,,CAYNP,CA,,000063,{21F30813-CA58-43E1-8E3E-974238DF1C90},N,,0.00474021744972469,1.15042866206626e-06
1089,USFS,WFDSS,Infrared Image,2018/10/11 00:00:00+00,2018-CACNF-002664,2018,HOLY,CACNF,2018/08/28 21:59:59+00,23025.34224964,,L2TS,,CACNF,CA,6106,002664,{E439FF1D-8417-4168-ABA1-5FFC32F2E185},N,,0.755595912053871,0.00906178052669395
1100,CDF,WFDSS,Infrared Image,2017/08/01 00:00:00+00,2017-CAMMU-014474,2017,DETWILER,CACND,2017/07/31 06:00:00+00,81826.14389451,,K5UN,,CAMMU,CA,,014474,{DAEE9426-6AB2-4B81-A275-87E37F44984E},N,,1.9632903286591,0.0337732822431205
1104,USFS,IR heat perimeter,Infrared Image,2014/09/12 00:00:00+00,2014-CAKNF-006013,2014,Mill,,2014/09/12 00:10:00+00,1.70563522,Happy Camp Complex,,{6787d235-42f9-4973-a979-83d823328d5f},CAKNF,CA,4078,006013,{69D882D4-0B58-4E1C-A967-5AF9A1335A18},Y,JB1F,0.00455521770531844,7.49929717929841e-07
1117,CDF,Event Standard Perims,GPS-Walked,2018/06/21 00:00:00+00,2018-CABEU-002837,2018,BEAVER,CABEU,2018/06/16 00:00:00+00,194.3560634,,LVK6,,CABEU,CA,,002837,{3C091B64-5DDA-4182-BDED-27FADB776914},N,,0.0648653711619185,7.89903920150262e-05
1129,NPS,WFDSS,GPS-Flight,2018/10/16 00:00:00+00,2018-CAYNP-000091,2018,Rancheria,CAYNP,2018/10/12 00:00:00+00,54.71364247,,L4RK,,CAYNP,CA,,000091,{AA30ECD2-1B77-4DC2-8BF4-B12B65D2A0BE},N,,0.0249577983472701,2.27000175646164e-05
1184,NPS,WFDSS,Infrared Image,2017/10/17 00:00:00+00,2017-CAYNP-000108,2017,South Fork,CAYNP,2017/10/11 00:00:00+00,7559.9534861,,K9MU,,CAYNP,CA,5502,000108,{16DBB6FA-1D4C-4FED-9DF6-D08875DF84DD},N,,0.888241800936357,0.00311959322297162
1210,USFS,"Event Standard Perims; Map methods Infrared + GPS/travel method unknown",Mixed Methods,2017/08/15 00:00:00+00,2017-CAMDF-000862,2017,PARKER2,CAMDF,2017/08/14 21:59:59+00,7693.31934541,,K8YG,,CAMDF,CA,5462,000862,{9DEC180B-7F52-4A56-8559-307844FED367},N,,1.22889720596069,0.003355453196263
1221,FWS,BLM FPERs Data,GPS-Flight,2017/08/18 00:00:00+00,2017-AZHVR-001121,2017,Beal,AZHVR,2017/07/11 17:19:59+00,135.47871462,,K404,,AZHVR,CA,,001121,{BA2DE9E4-DBA3-458E-B171-F75EC1AD1260},N,,0.0420580331469538,5.39832960945095e-05
1235,CDF,,Unknown,2017/09/29 00:00:00+00,2017-CASLU-010788,2017,HUASNA,,2017/09/20 00:00:00+00,244.78898408,,LDQ4,,CASLU,CA,,010788,{9C8AADD4-0962-4C68-8FDE-5C23DD16FB33},N,,0.0592674405152734,9.79985267342549e-05
1238,C&L,FPER,Mixed Methods,2018/02/06 00:00:00+00,2017-CAKRN-021748,2017,BODFISH,,2017/06/11 00:00:00+00,226.37843893,,K1X1,,CAKRN,CA,,021748,{16281C25-001F-4F98-AC00-A35EA90944EC},N,,0.0451389380721537,9.11158071631965e-05
1239,BLM,FPER,GPS-Walked/ Driven,2018/02/06 00:00:00+00,2017-CACDD-008462,2017,FAIRVIEW,,2017/06/01 00:00:00+00,25.65859122,,K1DR,,CACDD,CA,,008462,{82B25198-DD55-40BB-A919-A86B328FAD3D},N,,0.0157040719643275,1.01298408639696e-05
